LebwohlLasher: Size: 50, Steps: 50, T*: 0.500: Order: 0.340, Time: 0.517040 s
         1003067 function calls (988177 primitive calls) in 0.967 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    511/2    0.000    0.000    0.449    0.224 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      770    0.000    0.000    0.000    0.000 inspect.py:632(_is_wrapper)
      210    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
       64    0.000    0.000    0.001    0.000 inspect.py:1959(_signature_bound_method)
      798    0.000    0.000    0.000    0.000 __init__.py:966(<lambda>)
    45/12    0.000    0.000    0.001    0.000 typing.py:1046(__getitem__)
      568    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      170    0.000    0.000    0.000    0.000 colors.py:771(__copy__)
      144    0.000    0.000    0.001    0.000 typing.py:1284(__hash__)
      454    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     1596    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      306    0.000    0.000    0.000    0.000 results.py:136(__new__)
      655    0.000    0.000    0.000    0.000 functools.py:65(wraps)
       93    0.000    0.000    0.001    0.000 typing.py:267(_remove_dups_flatten)
      661    0.000    0.000    0.000    0.000 fromnumeric.py:72(<dictcomp>)
      292    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
       48    0.000    0.000    0.003    0.000 __init__.py:1347(_add_data_doc)
  220/204    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
      791    0.000    0.000    0.000    0.000 __init__.py:690(_get)
      863    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
     1185    0.000    0.000    0.002    0.000 abc.py:117(__instancecheck__)
      130    0.000    0.000    0.000    0.000 colors.py:967(__init__)
 1602/214    0.000    0.000    0.001    0.000 abc.py:121(__subclasscheck__)
       51    0.000    0.000    0.000    0.000 shape_base.py:219(vstack)
        2    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
      221    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
      474    0.000    0.000    0.000    0.000 __init__.py:741(__getitem__)
       32    0.000    0.000    0.000    0.000 colors.py:497(<setcomp>)
      569    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
     1886    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      448    0.000    0.000    0.000    0.000 posixpath.py:60(isabs)
     25/6    0.000    0.000    0.001    0.000 core.py:3816(streamline)
      512    0.000    0.000    0.001    0.000 re.py:187(match)
        6    0.000    0.000    0.004    0.001 patches.py:2257(<listcomp>)
      684    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       34    0.000    0.000    0.000    0.000 numeric.py:136(ones)
     1868    0.000    0.000    0.000    0.000 typing.py:1273(<genexpr>)
      165    0.000    0.000    0.000    0.000 sre_compile.py:265(_compile_charset)
      581    0.000    0.000    0.000    0.000 inspect.py:191(isclass)
      400    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      292    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       67    0.000    0.000    0.002    0.000 colors.py:1089(reversed)
      204    0.000    0.000    0.000    0.000 numeric.py:1330(normalize_axis_tuple)
