LebwohlLasher_vectorization.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.279, Time: 0.956658 s
         1601606 function calls (1579849 primitive calls) in 5.274 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      715    0.000    0.000    0.001    0.000 contextlib.py:279(helper)
      434    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
      344    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      640    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
      206    0.000    0.000    0.000    0.000 font_manager.py:814(set_size)
      180    0.000    0.000    0.001    0.000 markers.py:257(_recache)
      626    0.000    0.000    0.002    0.000 colors.py:221(is_color_like)
        3    0.000    0.000    0.019    0.006 core.py:1(<module>)
      610    0.000    0.000    0.001    0.000 sre_compile.py:447(_simple)
      845    0.000    0.000    0.000    0.000 transforms.py:1036(get_points)
       29    0.000    0.000    0.000    0.000 pathlib.py:438(_select_from)
      388    0.000    0.000    0.001    0.000 font_manager.py:1191(score_weight)
      324    0.000    0.000    0.000    0.000 lines.py:1197(_set_markercolor)
      453    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      118    0.000    0.000    0.001    0.000 font_manager.py:595(__init__)
       24    0.000    0.000    0.000    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
