LebwohlLasher_numba.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.404, Time: 1.487729 s
         2898209 function calls (2814732 primitive calls) in 3.517 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
2042/1849    0.001    0.000    0.013    0.000 contextlib.py:130(__enter__)
     4449    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      454    0.001    0.000    0.003    0.000 copy.py:66(copy)
      262    0.001    0.000    0.029    0.000 context.py:700(load_additional_registries)
     1508    0.001    0.000    0.001    0.000 errors.py:812(new_error_context)
      871    0.001    0.000    0.001    0.000 enum.py:470(__setattr__)
      940    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
      274    0.001    0.000    0.006    0.000 typing.py:1016(__init__)
      234    0.001    0.000    0.002    0.000 npydecl.py:25(_handle_inputs)
       87    0.001    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      121    0.001    0.000    0.005    0.000 extending.py:352(_register)
   647/66    0.001    0.000    1.180    0.018 {built-in method builtins.__import__}
     5370    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
      614    0.001    0.000    0.001    0.000 functions.py:78(add_error)
      784    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
     3236    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
  523/357    0.001    0.000    0.006    0.000 context.py:343(get_meminfos)
     5130    0.001    0.000    0.001    0.000 _utils.py:13(is_used)
      246    0.001    0.000    0.042    0.000 templates.py:900(_get_target_registry)
     2911    0.001    0.000    0.002    0.000 castgraph.py:48(get)
     1588    0.001    0.000    0.002    0.000 target_extension.py:14(__getitem__)
      784    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
     1180    0.001    0.000    0.005    0.000 ansitowin32.py:49(isatty)
      240    0.001    0.000    0.002    0.000 ir.py:579(__repr__)
        7    0.001    0.000    0.007    0.001 __init__.py:816(__init__)
      674    0.001    0.000    0.001    0.000 pathlib.py:621(__str__)
   150/16    0.001    0.000    0.431    0.027 typeinfer.py:580(resolve)
     2223    0.001    0.000    0.011    0.000 base.py:1246(exit_fn)
      675    0.001    0.000    0.025    0.000 templates.py:349(apply)
        2    0.001    0.000    0.002    0.001 decoder.py:343(raw_decode)
      174    0.001    0.000    0.004    0.000 targetconfig.py:199(<dictcomp>)
      225    0.001    0.000    0.001    0.000 core.py:455(__init__)
     3236    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:893(__enter__)
     1486    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:391(cached)
     23/8    0.001    0.000    0.214    0.027 lowering.py:275(lower_block)
     2595    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
     2223    0.001    0.000    0.009    0.000 base.py:1243(enter_fn)
      252    0.001    0.000    0.001    0.000 misc.py:113(__init__)
      590    0.001    0.000    0.011    0.000 initialise.py:37(init)
      269    0.001    0.000    0.031    0.000 sre_parse.py:944(parse)
      278    0.001    0.000    0.022    0.000 interpreter.py:1797(store)
     1123    0.001    0.000    0.001    0.000 typeinfer.py:911(__getitem__)
        1    0.001    0.001    0.001    0.001 _cm_listed.py:1(<module>)
       72    0.001    0.000    0.003    0.000 analysis.py:235(compute_cfg_from_blocks)
1874/1802    0.001    0.000    0.002    0.000 misc.py:52(unliteral)
     2388    0.001    0.000    0.001    0.000 typing.py:935(_is_dunder)
     1372    0.001    0.000    0.001    0.000 os.py:755(encode)
     3442    0.001    0.000    0.002    0.000 abstract.py:127(__ne__)
     1515    0.001    0.000    0.001    0.000 templates.py:1239(register_global)
     2714    0.001    0.000    0.001    0.000 util.py:185(is_consecutive)
       79    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1616(<setcomp>)
      973    0.001    0.000    0.012    0.000 __init__.py:711(__setitem__)
      323    0.001    0.000    0.002    0.000 context.py:287(find_matching_getattr_template)
     1109    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     3281    0.001    0.000    0.001    0.000 sre_parse.py:250(match)
 3538/834    0.001    0.000    0.001    0.000 __init__.py:353(recursive_subclasses)
      476    0.001    0.000    0.002    0.000 numpy_support.py:387(choose_types)
      357    0.001    0.000    0.007    0.000 context.py:360(_call_incref_decref)
      702    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
     2552    0.001    0.000    0.139    0.000 ffi.py:132(__getattr__)
     2808    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       50    0.001    0.000    0.001    0.000 enum.py:222(<setcomp>)
    43/33    0.001    0.000    0.177    0.005 lowering.py:741(lower_binop)
      702    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
     8201    0.001    0.000    0.001    0.000 {method 'write' of '_io.StringIO' objects}
      738    0.001    0.000    0.001    0.000 controlflow.py:367(_add_edge)
     3592    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     3373    0.001    0.000    0.001    0.000 sre_parse.py:161(__len__)
      799    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
       27    0.001    0.000    0.001    0.000 analysis.py:190(compute_live_variables)
     1230    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
     9530    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
      317    0.001    0.000    0.008    0.000 overrides.py:142(decorator)
     2927    0.001    0.000    0.002    0.000 castgraph.py:65(__getitem__)
     1026    0.001    0.000    0.003    0.000 ssa.py:190(_run_ssa_block_pass)
      885    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:169(__enter__)
      296    0.001    0.000    0.014    0.000 typeof.py:27(typeof)
     4798    0.001    0.000    0.001    0.000 artist.py:1563(<genexpr>)
   306/12    0.001    0.000    0.003    0.000 core.py:776(_parseNoCache)
      307    0.001    0.000    0.010    0.000 __init__.py:919(read_text)
     1177    0.001    0.000    0.001    0.000 base.py:138(append)
       51    0.001    0.000    0.001    0.000 linalg.py:1193(eig)
     7416    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
     1318    0.001    0.000    0.001    0.000 cpu_options.py:131(__init__)
     1903    0.001    0.000    0.001    0.000 ir.py:383(__getattr__)
      805    0.001    0.000    0.084    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
     5860    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      771    0.001    0.000    0.001    0.000 target_extension.py:52(get_local_target)
     2103    0.001    0.000    0.001    0.000 sre_parse.py:287(tell)
        3    0.001    0.000    0.030    0.010 core.py:1(<module>)
     1211    0.001    0.000    0.001    0.000 context.py:501(insert_function)
     7526    0.001    0.000    0.001    0.000 pprint.py:92(__init__)
        1    0.001    0.001    0.001    0.001 {method 'accumulate' of 'numpy.ufunc' objects}
       94    0.001    0.000    0.009    0.000 __init__.py:1391(_preprocess_data)
      810    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:357(__init__)
     3123    0.001    0.000    0.001    0.000 controlflow.py:117(successors)
     5860    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     1190    0.001    0.000    0.003    0.000 _collections_abc.py:828(__contains__)
     3196    0.001    0.000    0.001    0.000 event.py:148(is_end)
      713    0.001    0.000    0.001    0.000 controlflow.py:382(_dfs)
     8306    0.001    0.000    0.001    0.000 inspect.py:2687(name)
     2078    0.001    0.000    0.001    0.000 abstract.py:20(_autoincr)
     5527    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
      136    0.001    0.000    0.024    0.000 _docstring.py:38(__call__)
        6    0.001    0.000    0.022    0.004 registry.py:54(apply)
      601    0.001    0.000    0.002    0.000 types.py:77(__call__)
      254    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      150    0.001    0.000    0.001    0.000 typeinfer.py:508(fold_arg_vars)
      236    0.001    0.000    0.001    0.000 __init__.py:391(__getitem__)
      169    0.001    0.000    0.001    0.000 colors.py:310(_to_rgba_no_colorcycle)
      356    0.001    0.000    0.002    0.000 inspect.py:663(_finddoc)
      530    0.001    0.000    0.001    0.000 base.py:37(__init__)
      808    0.001    0.000    0.001    0.000 __init__.py:89(find_spec)
     1211    0.001    0.000    0.002    0.000 templates.py:1229(register)
     1150    0.001    0.000    0.003    0.000 re.py:202(sub)
      103    0.001    0.000    0.002    0.000 instructions.py:68(__init__)
      160    0.001    0.000    0.001    0.000 shape_base.py:612(column_stack)
     5290    0.001    0.000    0.001    0.000 event.py:108(kind)
     1122    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
     5938    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     3627    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
      335    0.001    0.000    0.003    0.000 instructions.py:666(__init__)
       21    0.001    0.000    0.001    0.000 __init__.py:213(__getattr__)
     2200    0.001    0.000    0.001    0.000 inspect.py:277(isfunction)
      494    0.001    0.000    0.001    0.000 {built-in method _functools.reduce}
      313    0.001    0.000    0.003    0.000 builder.py:769(store)
      105    0.001    0.000    0.220    0.002 artist.py:159(_update_set_signature_and_docstring)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
        1    0.001    0.001    0.001    0.001 transforms.py:1763(AffineBase)
      634    0.001    0.000    0.001    0.000 __init__.py:108(read)
      287    0.001    0.000    0.016    0.000 context.py:374(resolve_value_type)
      450    0.001    0.000    0.001    0.000 font_manager.py:928(_json_decode)
      239    0.001    0.000    0.044    0.000 templates.py:1093(_init_once)
     6636    0.001    0.000    0.001    0.000 {built-in method builtins.id}
     5074    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
  1191/48    0.001    0.000    1.245    0.026 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
